len,domainLen,underscore,at,dash,dot,slash,ampersand,question,equal,PhishingResult
10,14,0,0,4,0,1,0,0,0,0
8,12,0,0,2,1,0,0,0,0,0
11,12,3,0,0,1,2,0,0,0,0
8,8,0,0,0,1,2,0,0,0,0
8,9,2,0,0,0,1,0,0,0,0
5,17,0,0,0,0,0,0,0,0,0
12,12,0,0,4,0,3,0,0,0,0
6,13,0,0,0,0,1,0,0,0,0
8,6,0,0,0,1,2,0,0,0,0
19,8,0,0,7,1,6,0,0,0,0
8,8,0,0,0,1,2,0,0,0,0
23,11,0,0,5,1,11,0,0,0,0
17,6,0,0,0,4,1,2,1,0,0
20,8,4,0,0,1,10,0,0,0,0
7,12,1,0,0,0,1,0,0,0,0
9,14,0,0,1,1,3,0,0,0,0
7,10,0,0,0,0,2,0,0,0,0
14,14,1,0,4,0,4,0,0,0,0
10,13,1,0,0,1,3,0,0,0,0
16,7,0,0,8,0,3,0,0,0,0
6,11,0,0,0,0,1,0,0,0,0
7,11,0,0,1,0,1,0,0,0,0
7,11,0,0,1,0,1,0,0,0,0
7,11,0,0,0,0,1,0,0,0,0
9,12,0,0,2,1,1,0,0,0,0
5,10,1,0,0,0,0,0,0,0,0
6,10,0,0,0,0,1,0,0,0,0
14,21,0,0,6,1,0,0,0,0,0
13,9,0,0,0,4,2,0,1,0,0
9,20,0,0,2,1,2,0,0,0,0
9,7,0,0,3,0,1,0,0,0,0
7,17,0,0,0,0,2,0,0,0,0
16,11,1,0,6,0,2,0,1,0,0
5,8,0,0,0,0,0,0,0,0,0
15,12,0,0,1,3,2,1,1,0,0
4,10,0,0,0,0,0,0,0,0,0
9,11,0,0,3,0,1,0,0,0,0
8,12,2,0,0,0,1,0,0,0,0
7,12,0,0,0,0,2,0,0,0,0
11,11,4,0,0,0,2,0,0,0,0
13,18,2,0,0,1,5,0,0,0,0
8,12,2,0,0,0,1,0,0,0,0
7,12,1,0,0,1,0,0,0,0,0
6,14,0,0,0,1,0,0,0,0,0
4,21,0,0,0,0,0,0,0,0,0
8,10,0,0,0,1,1,0,0,0,0
7,22,1,0,0,1,0,0,0,0,0
7,12,0,0,0,1,1,0,0,0,0
15,11,0,0,7,0,3,0,0,0,0
8,21,0,0,0,0,3,0,0,0,0
8,15,0,0,0,0,3,0,0,0,0
17,6,0,0,0,4,1,2,1,0,0
7,12,1,0,0,0,1,0,0,0,0
19,16,0,0,6,1,5,0,1,0,0
13,11,3,0,0,1,4,0,0,0,0
9,13,0,0,1,1,2,0,0,0,0
7,11,0,0,0,0,2,0,0,0,0
8,7,0,0,1,1,2,0,0,0,0
7,13,0,0,1,0,1,0,0,0,0
19,8,1,0,8,1,4,0,0,0,0
10,10,0,0,1,1,3,0,0,0,0
6,20,0,0,0,0,1,0,0,0,0
11,7,2,0,0,0,0,1,1,0,0
9,31,0,0,0,1,1,0,0,0,0
6,10,0,0,0,0,1,0,0,0,0
7,10,0,0,0,0,1,0,0,0,0
7,6,0,0,0,0,1,0,0,0,0
7,27,0,0,0,0,2,0,0,0,0
8,21,0,0,0,0,3,0,0,0,0
11,14,0,0,3,0,3,0,0,0,0
7,12,1,0,0,0,1,0,0,0,0
7,10,0,0,0,0,0,0,1,0,0
7,10,0,0,0,0,0,0,1,0,0
7,12,1,0,0,0,1,0,0,0,0
16,7,4,0,0,1,5,0,0,0,0
8,10,0,0,0,1,2,0,0,0,0
10,12,0,0,6,0,0,0,0,0,0
6,12,1,0,0,0,0,0,0,0,0
10,10,0,0,5,0,0,0,0,0,0
14,13,6,0,0,1,2,0,0,0,0
7,12,1,0,0,0,1,0,0,0,0
