ranking,isIp,activeDuration,urlLen,is@,isredirect,haveDash,domainLen,nosOfSubdomain,label,dots,question,&,/,=,underscore,valid
10000000,0,0,20,0,0,1,20,2,1,2,0,0,0,0,0,0
194914,0,7305,42,0,0,0,12,2,0,4,0,0,4,0,0,1
10000000,0,0,155,0,0,0,14,1,1,2,1,1,2,2,1,0
7001,0,0,35,0,0,0,18,3,0,3,0,0,3,0,0,0
10000000,0,730,79,0,0,1,14,1,1,5,2,0,8,1,0,1
10000000,0,1096,21,0,0,0,17,1,1,1,0,0,2,0,0,1
10000000,0,12053,40,0,0,0,19,2,0,3,0,0,2,0,0,1
23191,0,0,50,0,0,0,20,3,0,3,0,0,4,0,0,0
10000000,0,0,24,0,0,0,15,3,0,3,0,0,2,0,0,0
10000000,0,6210,27,0,0,0,13,2,0,3,0,0,1,0,0,1
1451,0,0,36,0,0,0,11,2,0,2,0,0,4,0,0,0
10000000,0,0,54,0,0,0,13,1,1,2,0,0,6,0,0,0
14969,0,9133,27,0,0,0,14,2,0,2,0,0,2,0,0,1
10000000,0,3651,101,0,0,0,27,3,1,5,0,0,8,1,1,1
193405,0,12783,40,0,0,0,12,2,0,3,0,0,6,0,0,1
1603,0,0,27,0,0,0,20,3,0,3,0,0,2,0,0,0
3533,0,10591,43,0,0,0,32,2,0,3,0,0,1,0,0,1
14969,0,9133,27,0,0,0,14,2,0,2,0,0,2,0,0,1
1267,0,9496,31,0,0,0,20,2,0,3,0,0,1,0,0,1
10000000,0,6940,19,0,0,0,13,2,0,2,0,0,1,0,0,1
1267,0,9496,40,0,0,0,24,2,0,3,0,0,1,0,0,1
10000000,0,1827,44,0,0,0,28,3,1,4,0,0,2,0,0,1
10000000,0,9133,27,0,0,0,13,2,0,3,0,0,1,0,0,1
10000000,0,5479,55,0,1,0,15,1,1,2,0,0,6,0,0,1
14969,0,9133,26,0,0,0,14,2,0,2,0,0,2,0,0,1
14969,0,9133,27,0,0,0,14,2,0,2,0,0,2,0,0,1
10000000,0,0,95,0,0,1,39,5,1,7,1,1,5,2,2,0
10000000,0,1095,283,0,0,1,75,7,1,8,1,1,3,2,1,1
7644,0,7671,36,0,0,0,22,2,0,3,0,0,2,0,0,1
10000000,0,3653,54,0,0,0,25,2,1,3,0,0,2,0,1,1
10000000,0,1827,173,0,0,0,22,2,1,3,1,0,2,1,0,1
4570,0,6939,343,0,0,1,44,2,1,3,1,1,3,2,5,1
10000000,0,0,27,0,0,0,12,2,0,2,0,0,4,0,0,0
10000000,0,3653,27,0,0,0,26,3,1,3,0,0,1,0,0,1
10000000,0,9495,22,0,0,0,14,2,0,2,0,0,2,0,0,1
10000000,0,0,153,0,0,1,119,10,1,10,0,0,2,0,0,0
10000000,0,0,74,0,0,0,15,3,1,4,0,0,6,0,0,0
10000000,0,5113,104,0,0,0,15,2,1,7,2,1,8,2,0,1
10000000,0,0,83,0,0,0,28,3,1,4,1,0,1,1,0,0
91824,0,7305,34,0,0,0,14,2,0,2,0,0,4,0,0,1
10000000,0,0,43,0,0,0,20,3,0,4,0,0,2,0,0,0
10000000,0,8035,28,0,0,0,22,2,0,2,0,0,2,0,0,1
10000000,0,4017,97,0,0,0,13,2,1,6,2,1,8,2,0,1
1,0,11322,39,0,0,0,16,2,1,2,0,0,3,0,0,1
14969,0,9133,27,0,0,0,14,2,0,2,0,0,2,0,0,1
